Letter,Name,Area
A,European Union,
B,Shaping Europe's Digital Future,Single market
C,New industrial strategy for Europe,Industrial
D,Digital Single Market strategy,Single market
E,Energy union strategy,Energy
F,Security union strategy,Security
G,Cybersecurity Strategy,Cyber
H,Report on cybersecurity in the energy sector,Energy
I,Commission Staff Working Document on Energy Security: Good Practices to Address Pandemic Risks,Energy
J,Network code on cybersecurity,Energy
K,NIS directive,Cyber
L,NIS 2 directive,Cyber
M,ECI directive,Cyber
N,ECR directive,Cyber
O,Cybersecurity Act,Cyber
P,European Electronic Communications Code,Cyber
Q,5G toolbox,Cyber
